Name,ExpressionScript
Acid Circulation,CIP_07_Step != 9 && CIP_07_Acid_Supply_Valve != true && CIP_07_Acid_Return_Valve != true
Acid Heat to Temperature,CIP_07_Step == 999
Acid Heat to Temperature,CIP_07_Step != 999
Caustic Circulation,CIP_07_Step == 5 && CIP_07_Caustic_Supply_Valve == true && CIP_07_Caustic_Return_Valve == true
Caustic Circulation,CIP_07_Step != 5
Caustic Heat to Temperature,CIP_07_Step == 999
Caustic Heat to Temperature,CIP_07_Step != 999
Drain,CIP_07_Step == 13 || CIP_07_Step == 14
Drain,CIP_07_Step != 13 || CIP_07_Step != 14
Fresh Water Rinse to Drain,CIP_07_Step >= 1 && CIP_07_Step <= 4 || CIP_07_Step == 11 || CIP_07_Step == 7
Fresh Water Rinse to Drain,CIP_07_Step <= 1 && CIP_07_Step >= 4 || CIP_07_Step != 11 || CIP_07_Step != 7
Rinse Recovery,CIP_07_Step == 6 && CIP_07_Caustic_Supply_Valve == false && CIP_07_Caustic_Return_Valve == true || CIP_07_Step == 9 && CIP_07_Acid_Supply_Valve == false && CIP_07_Acid_Return_Valve == true
Rinse Recovery,CIP_07_Acid_Return_Valve == false && CIP_07_Caustic_Return_Valve == false
Sanitize Water,CIP_07_Step == 12
Sanitize Water,CIP_07_Step != 12
Sanitizer to Drain,CIP_07_Step == 12
Sanitizer to Drain,CIP_07_Step != 12
Acid Circulation,CIP_08_Step == 9 && CIP_08_Acid_Supply_Valve == true && CIP_08_Acid_Return_Valve == true
Acid Circulation,CIP_08_Acid_Supply_Valve == false
Acid Heat to Temp,CIP_08_Step == 9 && CIP_08_Supply_Temp < 125
Acid Heat to Temp,CIP_08_Acid_Supply_Valve == false || CIP_08_Supply_Temp >= 140
Caustic Circulation,CIP_08_Step == 5 && CIP_08_Caustic_Supply_Valve == true && CIP_08_Caustic_Return_Valve == true
Caustic Circulation,CIP_08_Step != 5 || CIP_08_Supply_Temp <= 120
Caustic Heat to Temp,CIP_08_Step == 5 && CIP_08_Supply_Temp < 120
Caustic Heat to Temp,CIP_08_Caustic_Supply_Valve == false || CIP_08_Supply_Temp >= 140
Drain,CIP_08_Step == 13 || CIP_08_Step == 14
Drain,CIP_08_Step != 13 || CIP_08_Step != 14
Fresh Water Rinse to Drain,CIP_08_Step >= 1 && CIP_08_Step <= 4 || CIP_08_Step == 11 || CIP_08_Step == 7
Fresh Water Rinse to Drain,CIP_08_Step <= 1 && CIP_08_Step >= 4 || CIP_08_Step != 11 || CIP_08_Step != 7
Sanitize to Drain,CIP_08_Step == 12
Sanitize to Drain,CIP_08_Step != 12
Sanitize Water,CIP_08_Step == 12
Sanitize Water,CIP_08_Step != 12
Acid Circulation,CIP_09_Step == 9 && CIP_09_Acid_Supply_Valve == true && CIP_09_Acid_Return_Valve == 1
Acid Circulation,CIP_09_Acid_Supply_Valve != false
Acid Heat to Temp,CIP_09_Step == 9 && CIP_09_Supply_Temp < 125
Acid Heat to Temp,CIP_09_Acid_Supply_Valve == false || CIP_09_Supply_Temp >= 140
Caustic Circulation,CIP_09_Step == 5 && CIP_09_Caustic_Supply_Valve == true && CIP_09_Temp_Hold == false && CIP_09_Drain_Valve == false && CIP_09_Caustic_Return_Valve == 1
Caustic Circulation,CIP_09_Step != 5 || CIP_09_Supply_Temp <= 125
Caustic Heat to Temp,CIP_09_Step == 5 && CIP_09_Supply_Temp < 125
Caustic Heat to Temp,CIP_09_Caustic_Supply_Valve == false || CIP_09_Supply_Temp >= 140
Drain,CIP_09_Step == 13 || CIP_09_Step == 14 || CIP_09_Step == 4
Drain,CIP_09_Step != 13 || CIP_09_Step != 14 || CIP_09_Step != 4
Fresh Water Rinse to Drain,CIP_09_Step >= 1 && CIP_09_Step <= 3 || CIP_09_Step == 11 || CIP_09_Step == 7
Fresh Water Rinse to Drain,CIP_09_Step <= 1 && CIP_09_Step >= 3 || CIP_09_Step != 11 || CIP_09_Step != 7
Rinse Recovery,CIP_09_Step == 6 && CIP_09_Caustic_Supply_Valve == false && CIP_09_Caustic_Return_Valve == 1 || CIP_09_Step == 9 && CIP_09_Acid_Supply_Valve == false && CIP_09_Acid_Return_Valve == 1
Rinse Recovery,CIP_09_Acid_Return_Valve == false && CIP_09_Caustic_Return_Valve == false
Sanitize to Drain,CIP_09_Step == 12
Sanitize to Drain,CIP_09_Step != 12
Sanitize Water,CIP_09_Step == 12
Sanitize Water,CIP_09_Step != 12
Acid Circulation,CIP_10_Step == 9 && CIP_10_Acid_Supply_Valve == true && CIP_10_Acid_Return_Valve == 1
Acid Circulation,CIP_10_Step != 9 && CIP_10_Acid_Supply_Valve != true && CIP_10_Acid_Return_Valve != 1
Acid Heat to Temp,CIP_10_Step == 9 && CIP_10_Supply_Temp < 125
Acid Heat to Temp,CIP_10_Acid_Supply_Valve == false || CIP_10_Supply_Temp >= 140
Caustic Circulation,CIP_10_Step == 5 && CIP_10_Caustic_Supply_Valve == true && CIP_10_Caustic_Return_Valve == 1
Caustic Circulation,CIP_10_Step != 5 || CIP_10_Supply_Temp <= 125
Caustic Heat to Temp,CIP_10_Step == 5 && CIP_10_Supply_Temp < 125
Caustic Heat to Temp,CIP_10_Caustic_Supply_Valve == false || CIP_10_Supply_Temp >= 140
Drain,CIP_10_Step == 13 || CIP_10_Step == 14
Drain,CIP_10_Step != 13 || CIP_10_Step != 14
Fresh Water Rinse to Drain,CIP_10_Step >= 1 && CIP_10_Step <= 3 || CIP_10_Step == 11 || CIP_10_Step == 7
Fresh Water Rinse to Drain,CIP_10_Step <= 1 && CIP_10_Step >= 3 || CIP_10_Step != 11 || CIP_10_Step != 7
Rinse Recovery,CIP_10_Step == 6 && CIP_10_Caustic_Supply_Valve == false && CIP_10_Caustic_Return_Valve == 1 || CIP_10_Step == 9 && CIP_10_Acid_Supply_Valve == false && CIP_10_Acid_Return_Valve == 1
Rinse Recovery,CIP_10_Acid_Return_Valve == false && CIP_10_Caustic_Return_Valve == false
Sanitize to Drain,CIP_10_Step == 12
Sanitize to Drain,CIP_10_Step != 12
Sanitize Water,CIP_10_Step == 12
Sanitize Water,CIP_10_Step != 12
Acid Circulation,CIP_11_Step == 9 && CIP_11_Acid_Supply_Valve == true && CIP_11_Acid_Return_Valve == 1
Acid Circulation,CIP_11_Step != 9 && CIP_11_Acid_Supply_Valve != true && CIP_11_Acid_Return_Valve != 1
Acid Heat to Temp,CIP_11_Step == 9 && CIP_11_Supply_Temp < 125
Acid Heat to Temp,CIP_11_Acid_Supply_Valve != false || CIP_11_Supply_Temp <= 140
Caustic Circulation,CIP_11_Step == 5 && CIP_11_Caustic_Supply_Valve == true && CIP_11_Caustic_Return_Valve == 1
Caustic Circulation,CIP_11_Step != 5 || CIP_11_Supply_Temp <= 125
Caustic Heat to Temp,CIP_11_Step == 5 && CIP_11_Supply_Temp < 125
Caustic Heat to Temp,CIP_11_Caustic_Supply_Valve == false || CIP_11_Supply_Temp >= 140
Drain,CIP_11_Step == 13 || CIP_11_Step == 14
Drain,CIP_11_Step != 13 || CIP_11_Step != 14
Fresh Water Rinse to Drain,CIP_11_Step >= 1 && CIP_11_Step <= 3 || CIP_11_Step == 11 || CIP_11_Step == 7
Fresh Water Rinse to Drain,CIP_11_Step <= 1 && CIP_11_Step >= 3 || CIP_11_Step != 11 || CIP_11_Step != 7
Rinse Recovery,CIP_11_Step == 6 && CIP_11_Caustic_Supply_Valve == false && CIP_11_Caustic_Return_Valve == 1 || CIP_11_Step == 9 && CIP_11_Acid_Supply_Valve == false && CIP_11_Acid_Return_Valve == 1
Rinse Recovery,CIP_11_Acid_Return_Valve == false && CIP_11_Caustic_Return_Valve == false
Sanitize to Drain,CIP_11_Step == 12
Sanitize to Drain,CIP_11_Step != 12
Sanitize Water,CIP_11_Step == 12
Sanitize Water,CIP_11_Step != 12
Acid Circulation,CIP_12_Return_Temp >= 145 && CIP_12_Acid1_Seq == true || CIP_12_Acid2_Seq == 1
Acid Circulation,CIP_12_Acid1_Seq == false && CIP_12_Acid2_Seq == false
Acid Heat to Temp,CIP_12_Return_Temp < 125 && CIP_12_Acid1_Seq == true || CIP_12_Acid2_Seq == 1
Acid Heat to Temp,CIP_12_Return_Temp >= 145 || CIP_12_Acid1_Seq == false && CIP_12_Acid2_Seq == false
Caustic Circulation,CIP_12_Caustic_Seq == true && CIP_12_Return_Temp >= 165
Caustic Circulation,CIP_12_Caustic_Seq == false || CIP_12_Return_Temp < 145
Caustic Heat to Temp,CIP_12_Caustic_Seq == true && CIP_12_Return_Temp < 145
Caustic Heat to Temp,CIP_12_Return_Temp >= 165 || CIP_12_Caustic_Seq == false
Fresh Water Rinse,CIP_12_Rinse_1_Seq == true || CIP_12_Rinse_2_Seq == true || CIP_12_Rinse_3_Seq == true || CIP_12_Rinse_4_Seq == 1
Fresh Water Rinse,CIP_12_Rinse_1_Seq != true || CIP_12_Rinse_2_Seq != true || CIP_12_Rinse_3_Seq != true || CIP_12_Rinse_4_Seq != 1
Recovered Water Rinse,CIP_12_Recovered_Water_Supply_Valve == true && CIP_12_Recovered_Water_Return_Valve == 1 && CIP_12_Object_ID == true && CIP_12_Object_ID == 2
Recovered Water Rinse,CIP_12_Recovered_Water_Supply_Valve != true && CIP_12_Recovered_Water_Return_Valve != 1 && CIP_12_Object_ID != true && CIP_12_Object_ID != 2
Sanitize Water,CIP_12_Sanitize_Seq == true
Sanitize Water,CIP_12_Supply_Pump == false
Sanitizer to Drain,CIP_12_Sanitize_Seq == true
Sanitizer to Drain,CIP_12_Supply_Pump == false
Water Push Acid,CIP_12_Acid_Supply_Valve == false && CIP_12_Drain_Valve_1 == true && CIP_12_Object_ID == true && CIP_12_Object_ID == 2
Water Push Acid,CIP_12_Acid_Supply_Valve != false && CIP_12_Drain_Valve_1 != true && CIP_12_Object_ID != true && CIP_12_Object_ID != 2
Water Push Caustic,CIP_12_Caustic_Supply_Valve == false && CIP_12_Drain_Valve_2 == true && CIP_12_Object_ID == true && CIP_12_Object_ID == 2
Water Push Caustic,CIP_12_Caustic_Supply_Valve != false && CIP_12_Drain_Valve_2 != true && CIP_12_Object_ID != true && CIP_12_Object_ID != 2
Acid Circulation Type 1,CIP_13_Acid_Supply_Valve == true && CIP_13_Acid_Return_Valve == true && CIP_13_Return_Temp >= 130 && CIP_13_Acid_Seq == true && CIP_13_Acid_Type == true
Acid Circulation Type 1,CIP_13_Acid_Seq == false
Acid Circulation Type 2,CIP_13_Acid_Supply_Valve == true && CIP_13_Acid_Return_Valve == true && CIP_13_Return_Temp >= 130 && CIP_13_Acid_Seq == true && CIP_13_Acid_Type == false
Acid Circulation Type 2,CIP_13_Acid_Seq == false
Acid Heat to Temp Type 1,CIP_13_Acid_Supply_Valve == true && CIP_13_Acid_Return_Valve == false && CIP_13_Return_Temp < 125 && CIP_13_Acid_Seq == true && CIP_13_Acid_Type == true
Acid Heat to Temp Type 1,CIP_13_Acid_Seq == false || CIP_13_Return_Temp > 135 && CIP_13_Acid_Return_Valve == true && CIP_13_Acid_Supply_Valve == true
Acid Heat to Temp Type 2,CIP_13_Acid_Supply_Valve == true && CIP_13_Acid_Return_Valve == false && CIP_13_Return_Temp < 125 && CIP_13_Acid_Seq == true && CIP_13_Acid_Type == false
Acid Heat to Temp Type 2,CIP_13_Acid_Seq == false || CIP_13_Return_Temp > 135 && CIP_13_Acid_Return_Valve == true && CIP_13_Acid_Supply_Valve == true
Acid Recovery,CIP_13_Step == 8
Acid Recovery,CIP_13_Step != 8
Caustic Circulation,CIP_13_Caustic_Supply_Valve == true && CIP_13_Caustic_Return_Valve == true && CIP_13_Return_Temp >= 130 && CIP_13_Caustic_Seq == true
Caustic Circulation,CIP_13_Caustic_Seq == false
Caustic Circulation Chlorine Addition,CIP_13_Caustic_Supply_Valve == true && CIP_13_Caustic_Return_Valve == true && CIP_13_Return_Temp >= 145 && CIP_13_Caustic_Seq == true
Caustic Circulation Chlorine Addition,CIP_13_Caustic_Seq == false
Caustic Heat to Temp,CIP_13_Caustic_Supply_Valve == true && CIP_13_Caustic_Return_Valve == false && CIP_13_Return_Temp < 125 && CIP_13_Caustic_Seq == true
Caustic Heat to Temp,CIP_13_Caustic_Seq == false || CIP_13_Return_Temp > 145 && CIP_13_Caustic_Return_Valve == true && CIP_13_Caustic_Supply_Valve == true
Caustic Recovery,CIP_13_Step == 4
Caustic Recovery,CIP_13_Step != 4
Fresh Water Rinse,CIP_13_Rinse_1_Seq == true || CIP_13_Rinse_2_Seq == true || CIP_13_Rinses_Seq == true || CIP_13_PreRinse_Seq == true && CIP_13_Step != 4
Fresh Water Rinse,CIP_13_Rinse_1_Seq != true || CIP_13_Rinse_2_Seq != true || CIP_13_Rinses_Seq != true || CIP_13_PreRinse_Seq != true && CIP_13_Step == 4
Sanitize Water,CIP_13_Sanitizes_Seq == true
Sanitize Water,CIP_13_Sanitizes_Seq != true
Caustic Circulation,CIP_14_Caustic_Supply_Valve == true && CIP_14_Caustic_Return_Valve == true && CIP_14_Return_Temp >= 150 && CIP_14_Step == 10
Caustic Circulation,CIP_14_Step != 10
Caustic Heat to Temp,CIP_14_Caustic_Supply_Valve == true && CIP_14_Caustic_Return_Valve == false && CIP_14_Return_Temp < 135 && CIP_14_Step == 10
Caustic Heat to Temp,CIP_14_Step != 10 || CIP_14_Return_Temp > 150
Chlorine Circulation,CIP_14_Acid_Supply_Valve == true && CIP_14_Acid_Return_Valve == true && CIP_14_Return_Temp >= 125 && CIP_14_Step == 14
Chlorine Circulation,CIP_14_Step != 14
Chlorine Heat to Temp,CIP_14_Acid_Supply_Valve == true && CIP_14_Acid_Return_Valve == true && CIP_14_Return_Temp < 110 && CIP_14_Step == 14
Chlorine Heat to Temp,CIP_14_Acid_Supply_Valve == false || CIP_14_Return_Temp >= 125 || CIP_14_Step != 14
Drain,CIP_14_Step == 5 || CIP_14_Step == 13 || CIP_14_Step == 17 || CIP_14_Step == 20
Drain,CIP_14_Step != 5 || CIP_14_Step != 13 || CIP_14_Step != 17 || CIP_14_Step != 20
Fresh Water Rinse,CIP_14_Step == 4 || CIP_14_Step == 12 || CIP_14_Step == 16 && CIP_14_Acid_Return_Valve == false && CIP_14_Caustic_Return_Valve == false
Fresh Water Rinse,CIP_14_Step != 4 || CIP_14_Step != 12 || CIP_14_Step != 16 && CIP_14_Acid_Return_Valve != false && CIP_14_Caustic_Return_Valve != false
Rinse Recovery,CIP_14_Step == 11 && CIP_14_Caustic_Supply_Valve == false && CIP_14_Caustic_Return_Valve == true || CIP_14_Step == 15 && CIP_14_Acid_Supply_Valve == false && CIP_14_Acid_Return_Valve == true
Rinse Recovery,CIP_14_Acid_Return_Valve == false && CIP_14_Step > 14 || CIP_14_Caustic_Return_Valve == false && CIP_14_Step < 14
Sanitize Water,CIP_14_Step == 18 || CIP_14_Step == 19
Sanitize Water,CIP_14_Step != 18 || CIP_14_Step != 19
Sanitizer to Drain,CIP_14_Step == 18
Sanitizer to Drain,CIP_14_Step != 18
Caustic Circulation,CIP_15_Caustic_Supply_Valve == true && CIP_15_Caustic_Return_Valve == true && CIP_15_Return_Temp >= 150 && CIP_15_Step == 10
Caustic Circulation,CIP_15_Step != 10
Chlorine Heat to Temp,CIP_15_Acid_Supply_Valve == true && CIP_15_Acid_Return_Valve == true && CIP_15_Return_Temp < 125 && CIP_15_Step == 14
Chlorine Heat to Temp,CIP_15_Acid_Supply_Valve == false || CIP_15_Return_Temp >= 140 || CIP_15_Step != 14
Drain,CIP_15_Step == 5 || CIP_15_Step == 13 || CIP_15_Step == 17 || CIP_15_Step == 20
Drain,CIP_15_Step != 5 || CIP_15_Step != 13 || CIP_15_Step != 17 || CIP_15_Step != 20
Fresh Water Rinse,CIP_15_Step == 4 || CIP_15_Step == 12 || CIP_15_Step == 16 && CIP_15_Acid_Return_Valve == false && CIP_15_Caustic_Return_Valve == false
Fresh Water Rinse,CIP_15_Step != 4 || CIP_15_Step != 12 || CIP_15_Step != 16 && CIP_15_Acid_Return_Valve != false && CIP_15_Caustic_Return_Valve != false
Rinse Recovery,CIP_15_Step >= 11 && CIP_15_Step <= 12 && CIP_15_Caustic_Supply_Valve == false && CIP_15_Caustic_Return_Valve == true || CIP_15_Step >= 15 && CIP_15_Step <= 16 && CIP_15_Acid_Supply_Valve == false && CIP_15_Acid_Return_Valve == true
Rinse Recovery,CIP_15_Step <= 11 && CIP_15_Step >= 12 && CIP_15_Caustic_Supply_Valve != false && CIP_15_Caustic_Return_Valve != true || CIP_15_Step <= 15 && CIP_15_Step >= 16 && CIP_15_Acid_Supply_Valve != false && CIP_15_Acid_Return_Valve != true
Sanitize Water,CIP_15_Step == 18 || CIP_15_Step == 19
Sanitize Water,CIP_15_Step != 18 || CIP_15_Step != 19
Sanitizer to Drain,CIP_15_Step == 18
Sanitizer to Drain,CIP_15_Step != 18
Caustic Circulation,CIP_16_Caustic_Supply_Valve == true && CIP_16_Caustic_Return_Valve == true && CIP_16_Return_Temp >= 150 && CIP_16_Step == 10
Caustic Circulation,CIP_16_Step != 10
Caustic Heat to Temp,CIP_16_Caustic_Supply_Valve == true && CIP_16_Caustic_Return_Valve == false && CIP_16_Return_Temp < 135 && CIP_16_Step == 10
Caustic Heat to Temp,CIP_16_Caustic_Supply_Valve == false || CIP_16_Return_Temp >= 150 || CIP_16_Step != 10
Chlorine Circulation,CIP_16_Acid_Supply_Valve == true && CIP_16_Acid_Return_Valve == true && CIP_16_Return_Temp >= 140 && CIP_16_Step == 14
Chlorine Circulation,CIP_16_Step != 14
Chlorine Heat to Temp,CIP_16_Acid_Supply_Valve == true && CIP_16_Acid_Return_Valve == true && CIP_16_Return_Temp < 125 && CIP_16_Step == 14
Chlorine Heat to Temp,CIP_16_Acid_Supply_Valve == false || CIP_16_Return_Temp >= 140 || CIP_16_Step != 14
Drain,CIP_16_Step == 5 || CIP_16_Step == 13 || CIP_16_Step == 17 || CIP_16_Step == 20
Drain,CIP_16_Step != 5 || CIP_16_Step != 13 || CIP_16_Step != 17 || CIP_16_Step != 20
Fresh Water Rinse,CIP_16_Step == true || CIP_16_Step == 4 || CIP_16_Step == 12 || CIP_16_Step == 16 && CIP_16_Step != 19 && CIP_16_Acid_Return_Valve == false && CIP_16_Caustic_Return_Valve == false
Fresh Water Rinse,CIP_16_Step != true || CIP_16_Step != 4 || CIP_16_Step != 12 || CIP_16_Step != 16 && CIP_16_Step == 19 && CIP_16_Acid_Return_Valve != false && CIP_16_Caustic_Return_Valve != false
Rinse Recovery,CIP_16_Step >= 11 && CIP_16_Step <= 12 && CIP_16_Caustic_Return_Valve == true && CIP_16_Caustic_Supply_Valve == false || CIP_16_Step >= 15 && CIP_16_Step <= 16 && CIP_16_Acid_Return_Valve == true && CIP_16_Acid_Supply_Valve == false
Rinse Recovery,CIP_16_Step <= 11 && CIP_16_Step >= 12 && CIP_16_Caustic_Return_Valve != true && CIP_16_Caustic_Supply_Valve != false || CIP_16_Step <= 15 && CIP_16_Step >= 16 && CIP_16_Acid_Return_Valve != true && CIP_16_Acid_Supply_Valve != false
Sanitize Water,CIP_16_Step == 18 || CIP_16_Step == 19
Sanitize Water,CIP_16_Step != 18 || CIP_16_Step != 19
Sanitizer to Drain,CIP_16_Step == 18
Sanitizer to Drain,CIP_16_Step != 18
